;CAT;DESCRICAO
123;B46;Zigomicose
124;B47;Micetoma
125;B48;Outras micoses, não classificadas em outra parte
126;B49;Micose não especificada
127;B50;Malária por Plasmodium falciparum
128;B51;Malária por Plasmodium vivax
129;B52;Malária por Plasmodium malariae
130;B53;Outras formas de malária confirmadas por exames parasitológicos
131;B54;Malária não especificada
132;B55;Leishmaniose
133;B56;Tripanossomíase africana
134;B57;Doença de Chagas
135;B58;Toxoplasmose
136;B59;Pneumocistose
137;B60;Outras doenças devidas a protozoários, não classificadas em outra parte
138;B64;Doença não especificada devida a protozoários
139;B65;Esquistossomose [bilharziose] [Schistosomíase]
140;B66;Outras infestações por trematódeos
141;B67;Equinococose
142;B68;Infestação por Taenia
143;B69;Cisticercose
144;B70;Difilobotríase e esparganose
145;B71;Outras infestações por cestóides
146;B72;Dracontíase
147;B73;Oncocercose
148;B74;Filariose
149;B75;Triquinose
150;B76;Ancilostomíase
151;B77;Ascaridíase
152;B78;Estrongiloidíase
153;B79;Tricuríase
154;B80;Oxiuríase
155;B81;Outras helmintíases intestinais, não classificadas em outra parte
156;B82;Parasitose intestinal não especificada
157;B83;Outras helmintíases
158;B85;Pediculose e ftiríase
159;B86;Escabiose [sarna]
160;B87;Miíase
161;B88;Outras infestações
162;B89;Doença parasitária não especificada
163;B90;Seqüelas de tuberculose
164;B91;Seqüelas de poliomielite
165;B92;Seqüelas de hanseníase [lepra]
166;B94;Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas
167;B95;Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos
168;B96;Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos
169;B97;Vírus como causa de doenças classificadas em outros capítulos
170;B99;Doenças infecciosas, outras e as não especificadas
171;C00;Neoplasia maligna do lábio
172;C01;Neoplasia maligna da base da língua
173;C02;Neoplasia maligna de outras partes e de partes não especificadas da língua
174;C03;Neoplasia maligna da gengiva
175;C04;Neoplasia maligna do assoalho da boca
176;C05;Neoplasia maligna do palato
177;C06;Neoplasia maligna de outras partes e de partes não especificadas da boca
178;C07;Neoplasia maligna da glândula parótida
179;C08;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
180;C09;Neoplasia maligna da amígdala
181;C10;Neoplasia maligna da orofaringe
182;C11;Neoplasia maligna da nasofaringe
183;C12;Neoplasia maligna do seio piriforme
184;C13;Neoplasia maligna da hipofaringe
185;C14;Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe
186;C15;Neoplasia maligna do esôfago
187;C16;Neoplasia maligna do estômago
188;C17;Neoplasia maligna do intestino delgado
189;C18;Neoplasia maligna do cólon
190;C19;Neoplasia maligna da junção retossigmóide
191;C20;Neoplasia maligna do reto
192;C21;Neoplasia maligna do ânus e do canal anal
193;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas
194;C23;Neoplasia maligna da vesícula biliar
195;C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares
196;C25;Neoplasia maligna do pâncreas
197;C26;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
198;C30;Neoplasia maligna da cavidade nasal e do ouvido médio
199;C31;Neoplasia maligna dos seios da face
200;C32;Neoplasia maligna da laringe
201;C33;Neoplasia maligna da traquéia
202;C34;Neoplasia maligna dos brônquios e dos pulmões
203;C37;Neoplasia maligna do timo
204;C38;Neoplasia maligna do coração, mediastino e pleura
205;C39;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
206;C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros
207;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
208;C43;Melanoma maligno da pele
209;C44;Outras neoplasias malignas da pele
210;C45;Mesotelioma
211;C46;Sarcoma de Kaposi
212;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo
213;C48;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio
214;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
215;C50;Neoplasia maligna da mama
216;C51;Neoplasia maligna da vulva
217;C52;Neoplasia maligna da vagina
218;C53;Neoplasia maligna do colo do útero
219;C54;Neoplasia maligna do corpo do útero
220;C55;Neoplasia maligna do útero, porção não especificada
221;C56;Neoplasia maligna do ovário
222;C57;Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
223;C58;Neoplasia maligna da placenta
224;C60;Neoplasia maligna do pênis
225;C61;Neoplasia maligna da próstata
226;C62;Neoplasia maligna dos testículos
227;C63;Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
228;C64;Neoplasia maligna do rim, exceto pelve renal
229;C65;Neoplasia maligna da pelve renal
230;C66;Neoplasia maligna dos ureteres
231;C67;Neoplasia maligna da bexiga
232;C68;Neoplasia maligna de outros órgãos urinários e dos não especificados
233;C69;Neoplasia maligna do olho e anexos
234;C70;Neoplasia maligna das meninges
235;C71;Neoplasia maligna do encéfalo
236;C72;Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central
237;C73;Neoplasia maligna da glândula tireóide
238;C74;Neoplasia maligna da glândula supra-renal [Glândula adrenal]
239;C75;Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas
240;C76;Neoplasia maligna de outras localizações e de localizações mal definidas
241;C77;Neoplasia maligna secundária e não especificada dos gânglios linfáticos
242;C78;Neoplasia maligna secundária dos órgãos respiratórios e digestivos
243;C79;Neoplasia maligna secundária de outras localizações
244;C80;Neoplasia maligna, sem especificação de localização
245;C81;Doença de Hodgkin
246;C82;Linfoma não-Hodgkin, folicular (nodular)
247;C83;Linfoma não-Hodgkin difuso
248;C84;Linfomas de células T cutâneas e periféricas
249;C85;Linfoma não-Hodgkin de outros tipos e de tipo não especificado
250;C88;Doenças imunoproliferativas malignas
251;C90;Mieloma múltiplo e neoplasias malignas de plasmócitos
252;C91;Leucemia linfóide
253;C92;Leucemia mielóide
254;C93;Leucemia monocítica
255;C94;Outras leucemias de células de tipo especificado
256;C95;Leucemia de tipo celular não especificado
257;C96;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos
258;C97;Neoplasias malignas de localizações múltiplas independentes (primárias)
259;D00;Carcinoma in situ da cavidade oral, do esôfago e do estômago
260;D01;Carcinoma in situ de outros órgãos digestivos
261;D02;Carcinoma in situ do ouvido médio e do aparelho respiratório
262;D03;Melanoma in situ
263;D04;Carcinoma in situ da pele
264;D05;Carcinoma in situ da mama
265;D06;Carcinoma in situ do colo do útero (cérvix)
266;D07;Carcinoma in situ de outros órgãos genitais e dos não especificados
267;D09;Carcinoma in situ de outras localizações e das não especificadas
268;D10;Neoplasia benigna da boca e da faringe
269;D11;Neoplasia benigna de glândulas salivares maiores
270;D12;Neoplasia benigna do cólon, reto, canal anal e ânus
271;D13;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
272;D14;Neoplasia benigna do ouvido médio e do aparelho respiratório
273;D15;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
274;D16;Neoplasia benigna de osso e de cartilagem articular
275;D17;Neoplasia lipomatosa benigna
276;D18;Hemangioma e linfangioma de qualquer localização
277;D19;Neoplasia benigna de tecido mesotelial
278;D20;Neoplasia benigna de tecido mole do retroperitônio e do peritônio
279;D21;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
280;D22;Nevos melanocíticos
281;D23;Outras neoplasias benignas da pele
282;D24;Neoplasia benigna da mama
283;D25;Leiomioma do útero
284;D26;Outras neoplasias benignas do útero
285;D27;Neoplasia benigna do ovário
286;D28;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
287;D29;Neoplasia benigna dos órgãos genitais masculinos
288;D30;Neoplasia benigna dos órgãos urinários
289;D31;Neoplasia benigna do olho e anexos
290;D32;Neoplasia benigna das meninges
291;D33;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
292;D34;Neoplasia benigna da glândula tireóide
293;D35;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
294;D36;Neoplasia benigna de outras localizações e de localizações não especificadas
295;D37;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
296;D38;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
297;D39;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
298;D40;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
299;D41;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
300;D42;Neoplasia de comportamento incerto ou desconhecido das meninges
301;D43;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
302;D44;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
303;D45;Policitemia vera
304;D46;Síndromes mielodisplásicas
305;D47;Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos
306;D48;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
307;D50;Anemia por deficiência de ferro
308;D51;Anemia por deficiência de vitamina B12
309;D52;Anemia por deficiência de folato
310;D53;Outras anemias nutricionais
311;D55;Anemia devida a transtornos enzimáticos
312;D56;Talassemia
313;D57;Transtornos falciformes
314;D58;Outras anemias hemolíticas hereditárias
315;D59;Anemia hemolítica adquirida
316;D60;Aplasia pura da série vermelha, adquirida [eritroblastopenia]
317;D61;Outras anemias aplásticas
318;D62;Anemia aguda pós-hemorrágica
319;D63;Anemia em doenças crônicas classificadas em outra parte
320;D64;Outras anemias
321;D65;Coagulação intravascular disseminada [síndrome de desfibrinação]
322;D66;Deficiência hereditária do fator VIII
323;D67;Deficiência hereditária do fator IX
324;D68;Outros defeitos da coagulação
325;D69;Púrpura e outras afecções hemorrágicas
326;D70;Agranulocitose
327;D71;Transtornos funcionais dos neutrófilos polimorfonucleares
328;D72;Outros transtornos dos glóbulos brancos
329;D73;Doenças do baço
330;D74;Metemoglobinemia
331;D75;Outras doenças do sangue e dos órgãos hematopoéticos
332;D76;Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico
333;D77;Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
334;D80;Imunodeficiência com predominância de defeitos de anticorpos
335;D81;Deficiências imunitárias combinadas
336;D82;"Imunodeficiência associada com outros defeitos ""major"""
337;D83;Imunodeficiência comum variável
338;D84;Outras imunodeficiências
339;D86;Sarcoidose
340;D89;Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte
341;E00;Síndrome de deficiência congênita de iodo
342;E01;Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo
343;E02;Hipotireoidismo subclínico por deficiência de iodo
344;E03;Outros hipotireoidismos
345;E04;Outros bócios não-tóxicos
346;E05;Tireotoxicose [hipertireoidismo]
347;E06;Tireoidite
348;E07;Outros transtornos da tireóide
349;E10;Diabetes mellitus insulino-dependente
350;E11;Diabetes mellitus não-insulino-dependente
351;E12;Diabetes mellitus relacionado com a desnutrição
352;E13;Outros tipos especificados de diabetes mellitus
353;E14;Diabetes mellitus não especificado
354;E15;Coma hipoglicêmico não-diabético
355;E16;Outros transtornos da secreção pancreática interna
356;E20;Hipoparatireoidismo
357;E21;Hiperparatireoidismo e outros transtornos da glândula paratireóide
358;E22;Hiperfunção da hipófise
359;E23;Hipofunção e outros transtornos da hipófise
360;E24;Síndrome de Cushing
361;E25;Transtornos adrenogenitais
362;E26;Hiperaldosteronismo
363;E27;Outros transtornos da glândula supra-renal
364;E28;Disfunção ovariana
365;E29;Disfunção testicular
366;E30;Transtornos da puberdade não classificados em outra parte
367;E31;Disfunção poliglandular
368;E32;Doenças do timo
369;E34;Outros transtornos endócrinos
370;E35;Transtornos das glândulas endócrinas em doenças classificadas em outra parte
371;E40;Kwashiorkor
372;E41;Marasmo nutricional
373;E42;Kwashiorkor marasmático
374;E43;Desnutrição protéico-calórica grave não especificada
375;E44;Desnutrição protéico-calórica de graus moderado e leve
376;E45;Atraso do desenvolvimento devido à desnutrição protéico-calórica
377;E46;Desnutrição protéico-calórica não especificada
378;E50;Deficiência de vitamina A
379;E51;Deficiência de tiamina
380;E52;Deficiência de niacina [pelagra]
381;E53;Deficiência de outras vitaminas do grupo B
382;E54;Deficiência de ácido ascórbico
383;E55;Deficiência de vitamina D
384;E56;Outras deficiências vitamínicas
385;E58;Deficiência de cálcio da dieta
386;E59;Deficiência de selênio da dieta
387;E60;Deficiência de zinco da dieta
388;E61;Deficiência de outros elementos nutrientes
389;E63;Outras deficiências nutricionais
390;E64;Seqüelas de desnutrição e de outras deficiências nutricionais
391;E65;Adiposidade localizada
392;E66;Obesidade
393;E67;Outras formas de hiperalimentação
394;E68;Seqüelas de hiperalimentação
395;E70;Distúrbios do metabolismo de aminoácidos aromáticos
396;E71;Distúrbios do metabolismo de aminoácidos de cadeia ramificada e do metabolismo dos ácidos graxos
397;E72;Outros distúrbios do metabolismo de aminoácidos
398;E73;Intolerância à lactose
399;E74;Outros distúrbios do metabolismo de carboidratos
400;E75;Distúrbios do metabolismo de esfingolípides e outros distúrbios de depósito de lípides
401;E76;Distúrbios do metabolismo do glicosaminoglicano
402;E77;Distúrbios do metabolismo de glicoproteínas
403;E78;Distúrbios do metabolismo de lipoproteínas e outras lipidemias
404;E79;Distúrbios do metabolismo de purina e pirimidina
405;E80;Distúrbios do metabolismo da porfirina e da bilirrubina
406;E83;Distúrbios do metabolismo de minerais
407;E84;Fibrose cística
408;E85;Amiloidose
409;E86;Depleção de volume
410;E87;Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico
411;E88;Outros distúrbios metabólicos
412;E89;Transtornos endócrinos e metabólicos pós-procedimentos, não classificados em outra parte
413;E90;Transtornos nutricionais e metabólicos em doenças classificadas em outra parte
414;F00;Demência na doença de Alzheimer
415;F01;Demência vascular
416;F02;Demência em outras doenças classificadas em outra parte
417;F03;Demência não especificada
418;F04;Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas
419;F05;Delirium não induzido pelo álcool ou por outras substâncias psicoativas
420;F06;Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física
421;F07;Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral
422;F09;Transtorno mental orgânico ou sintomático não especificado
423;F10;Transtornos mentais e comportamentais devidos ao uso de álcool
424;F11;Transtornos mentais e comportamentais devidos ao uso de opiáceos
425;F12;Transtornos mentais e comportamentais devidos ao uso de canabinóides
426;F13;Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos
427;F14;Transtornos mentais e comportamentais devidos ao uso da cocaína
428;F15;Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína
429;F16;Transtornos mentais e comportamentais devidos ao uso de alucinógenos
430;F17;Transtornos mentais e comportamentais devidos ao uso de fumo
431;F18;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis
432;F19;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
433;F20;Esquizofrenia
434;F21;Transtorno esquizotípico
435;F22;Transtornos delirantes persistentes
436;F23;Transtornos psicóticos agudos e transitórios
437;F24;Transtorno delirante induzido
438;F25;Transtornos esquizoafetivos
439;F28;Outros transtornos psicóticos não-orgânicos
440;F29;Psicose não-orgânica não especificada
441;F30;Episódio maníaco
442;F31;Transtorno afetivo bipolar
443;F32;Episódios depressivos
444;F33;Transtorno depressivo recorrente
445;F34;Transtornos de humor [afetivos] persistentes
446;F38;Outros transtornos do humor [afetivos]
447;F39;Transtorno do humor [afetivo] não especificado
448;F40;Transtornos fóbico-ansiosos
449;F41;Outros transtornos ansiosos
450;F42;Transtorno obsessivo-compulsivo
451;F43;"Reações ao ""stress"" grave e transtornos de adaptação"
452;F44;Transtornos dissociativos [de conversão]
453;F45;Transtornos somatoformes
454;F48;Outros transtornos neuróticos
455;F50;Transtornos da alimentação
456;F51;Transtornos não-orgânicos do sono devidos a fatores emocionais
457;F52;Disfunção sexual, não causada por transtorno ou doença orgânica
458;F53;Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte
459;F54;Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte
460;F55;Abuso de substâncias que não produzem dependência
461;F59;Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas
462;F60;Transtornos específicos da personalidade
463;F61;Transtornos mistos da personalidade e outros transtornos da personalidade
464;F62;Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral
465;F63;Transtornos dos hábitos e dos impulsos
466;F64;Transtornos da identidade sexual
467;F65;Transtornos da preferência sexual
468;F66;Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação
469;F68;Outros transtornos da personalidade e do comportamento do adulto
470;F69;Transtorno da personalidade e do comportamento do adulto, não especificado
471;F70;Retardo mental leve
472;F71;Retardo mental moderado
473;F72;Retardo mental grave
474;F73;Retardo mental profundo
475;F78;Outro retardo mental
476;F79;Retardo mental não especificado
477;F80;Transtornos específicos do desenvolvimento da fala e da linguagem
478;F81;Transtornos específicos do desenvolvimento das habilidades escolares
479;F82;Transtorno específico do desenvolvimento motor
480;F83;Transtornos específicos misto do desenvolvimento
481;F84;Transtornos globais do desenvolvimento
482;F88;Outros transtornos do desenvolvimento psicológico
483;F89;Transtorno do desenvolvimento psicológico não especificado
484;F90;Transtornos hipercinéticos
485;F91;Distúrbios de conduta
486;F92;Transtornos mistos de conduta e das emoções
487;F93;Transtornos emocionais com início especificamente na infância
488;F94;Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência
489;F95;Tiques
490;F98;Outros transtornos comportamentais e emocionais com início habitualmente durante a infância ou a adolescência
491;F99;Transtorno mental não especificado em outra parte
492;G00;Meningite bacteriana não classificada em outra parte
493;G01;Meningite em doenças bacterianas classificadas em outra parte
494;G02;Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte
495;G03;Meningite devida a outras causas e a causas não especificadas
496;G04;Encefalite, mielite e encefalomielite
497;G05;Encefalite, mielite e encefalomielite em doenças classificadas em outra parte
498;G06;Abscesso e granuloma intracranianos e intra-raquidianos
499;G07;Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte
500;G08;Flebite e tromboflebite intracranianas e intra-raquidianas
501;G09;Seqüelas de doenças inflamatórias do sistema nervoso central
502;G10;Doença de Huntington
503;G11;Ataxia hereditária
504;G12;Atrofia muscular espinal e síndromes correlatas
505;G13;Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte
506;G20;Doença de Parkinson
507;G21;Parkinsonismo secundário
508;G22;Parkinsonismo em doenças classificadas em outra parte
509;G23;Outras doenças degenerativas dos gânglios da base
510;G24;Distonia
511;G25;Outras doenças extrapiramidais e transtornos dos movimentos
512;G26;Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte
513;G30;Doença de Alzheimer
514;G31;Outras doenças degenerativas do sistema nervoso não classificadas em outra parte
515;G32;Outros transtornos degenerativos do sistema nervoso em doenças classificadas em outra parte
516;G35;Esclerose múltipla
517;G36;Outras desmielinizações disseminadas agudas
518;G37;Outras doenças desmielinizantes do sistema nervoso central
519;G40;Epilepsia
520;G41;Estado de mal epiléptico
521;G43;Enxaqueca
522;G44;Outras síndromes de algias cefálicas
523;G45;Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
524;G46;Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares
525;G47;Distúrbios do sono
526;G50;Transtornos do nervo trigêmeo
527;G51;Transtornos do nervo facial
528;G52;Transtornos de outros nervos cranianos
529;G53;Transtornos dos nervos cranianos em doenças classificadas em outra parte
530;G54;Transtornos das raízes e dos plexos nervosos
531;G55;Compressões das raízes e dos plexos nervosos em doenças classificadas em outra parte
532;G56;Mononeuropatias dos membros superiores
533;G57;Mononeuropatias dos membros inferiores
534;G58;Outras mononeuropatias
535;G59;Mononeuropatias em doenças classificadas em outra parte
536;G60;Neuropatia hereditária e idiopática
537;G61;Polineuropatia inflamatória
538;G62;Outras polineuropatias
539;G63;Polineuropatia em doenças classificadas em outra parte
540;G64;Outros transtornos do sistema nervoso periférico
541;G70;Miastenia gravis e outros transtornos neuromusculares
542;G71;Transtornos primários dos músculos
543;G72;Outras miopatias
544;G73;Transtornos da junção mioneural e dos músculos em doenças classificadas em outra parte
545;G80;Paralisia cerebral
546;G81;Hemiplegia
547;G82;Paraplegia e tetraplegia
548;G83;Outras síndromes paralíticas
549;G90;Transtornos do sistema nervoso autônomo
550;G91;Hidrocefalia
551;G92;Encefalopatia tóxica
552;G93;Outros transtornos do encéfalo
553;G94;Outros transtornos do encéfalo em doenças classificadas em outra parte
554;G95;Outras doenças da medula espinal
555;G96;Outros transtornos do sistema nervoso central
556;G97;Transtornos pós-procedimento do sistema nervoso não classificados em outra parte
557;G98;Outros transtornos do sistema nervoso não classificados em outra parte
558;G99;Outros transtornos do sistema nervoso em doenças classificadas em outra parte
559;H00;Hordéolo e calázio
560;H01;Outras inflamações da pálpebra
561;H02;Outros transtornos da pálpebra
562;H03;Transtornos da pálpebra em doenças classificadas em outras partes
563;H04;Transtornos do aparelho lacrimal
564;H05;Transtornos da órbita
565;H06;Transtornos do aparelho lacrimal e da órbita em doenças classificadas em outra parte
566;H10;Conjuntivite
567;H11;Outros transtornos da conjuntiva
568;H13;Transtornos da conjuntiva em doenças classificadas em outra parte
569;H15;Transtornos da esclerótica
570;H16;Ceratite
571;H17;Cicatrizes e opacidades da córnea
572;H18;Outros transtornos da córnea
573;H19;Transtorno da esclerótica e da córnea em doenças classificadas em outra parte
574;H20;Iridociclite
575;H21;Outros transtornos da íris e do corpo ciliar
576;H22;Transtornos da íris e do corpo ciliar em doenças classificadas em outra parte
577;H25;Catarata senil
578;H26;Outras cataratas
579;H27;Outros transtornos do cristalino
580;H28;Catarata e outros transtornos do cristalino em doenças classificadas em outra parte
581;H30;Inflamação coriorretiniana
582;H31;Outros transtornos da coróide
583;H32;Transtornos coriorretinianos em doenças classificadas em outra parte
584;H33;Descolamentos e defeitos da retina
585;H34;Oclusões vasculares da retina
586;H35;Outros transtornos da retina
587;H36;Transtornos da retina em doenças classificadas em outra parte
588;H40;Glaucoma
589;H42;Glaucoma em doenças classificadas em outra parte
590;H43;Transtornos do humor vítreo
591;H44;Transtornos do globo ocular
592;H45;Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte
593;H46;Neurite óptica
594;H47;Outros transtornos do nervo óptico e das vias ópticas
595;H48;Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte
596;H49;Estrabismo paralítico
597;H50;Outros estrabismos
598;H51;Outros transtornos do movimento binocular
599;H52;Transtornos da refração e da acomodação
600;H53;Distúrbios visuais
601;H54;Cegueira e visão subnormal
602;H55;Nistagmo e outros movimentos irregulares do olho
603;H57;Outros transtornos do olho e anexos
